reviewId,userName,content,score,thumbsUpCount,at,replyContent
gp_1001,Alex Rivera,The app is way too bright in dark rooms. Please add a dark mode theme option! My eyes hurt.,1,45,2026-01-15 14:23:10,
gp_1002,Maria Chen,Please add dark mode! The bright white background causes severe eye strain at night.,2,32,2026-01-16 09:12:00,
gp_1003,David Kim,Dark theme is an absolute must have. All other apps have night mode now.,2,28,2026-01-18 20:45:11,
gp_1004,Elena Rostova,Need dark mode support urgently. The white background hurts my eyes.,1,19,2026-01-20 11:05:40,
gp_1005,Sarah Jenkins,Search is completely broken when looking for playlists with special characters.,2,15,2026-01-22 16:30:00,
gp_1006,Michael Chang,Can we please get offline playback without syncing issues?,3,8,2026-01-24 18:10:22,
gp_1007,Priya Patel,App crashes every time I try to open user settings on Android 14.,1,64,2026-01-25 08:44:19,Thanks for reporting. We are investigating!
gp_1008,Thomas Weber,Great music streaming but battery drain is excessively high during background play.,3,12,2026-01-28 12:00:30,
gp_1009,Lucas Silva,Love the recommendations! A dark mode option would make this 5 stars.,4,7,2026-02-01 19:15:00,
gp_1010,Olivia Taylor,The white screen is blinding at night. We really need dark mode.,1,22,2026-02-03 22:50:00,
